"q_id" "avg_ans_num_tag"
"1" 18 2
"2" 21 1.6667
"3" 26 1.6667
"4" 33 2.25
"5" 37 2.5
"6" 44 2.1667
"7" 55 2.375
"8" 58 2.2222
"9" 60 2.2222
"10" 62 2.1
"11" 69 2.3636
"12" 74 2.2308
"13" 76 2.3077
"14" 84 2.4
"15" 87 2.375
"16" 88 2.375
"17" 95 2.3889
"18" 104 2.6842
"19" 117 2.95
"20" 128 3.0952
"21" 133 3.1364
"22" 138 3.1304
"23" 144 3.3478
"24" 146 3.25
"25" 147 3.25
"26" 148 3.25
"27" 152 3.1154
"28" 153 3.1154
"29" 159 3.0714
"30" 162 3.0345
"31" 166 3.0333
"32" 170 3.0323
"33" 175 3.0625
"34" 181 3.1212
"35" 185 3.0882
"36" 187 3.1176
"37" 202 3.2571
"38" 206 3.1944
"39" 212 3.2432
"40" 217 3.2368
"41" 219 3.1795
"42" 220 3.1795
"43" 225 3.0732
"44" 231 3.119
"45" 235 3.1163
"46" 242 3.1818
"47" 245 3.1556
"48" 248 3.1304
"49" 249 3.1304
"50" 253 3.1277
"51" 256 3.1042
"52" 259 3.0816
"53" 262 3.06
"54" 273 3.0962
"55" 280 3.1509
"56" 289 3.1667
"57" 292 3.1455
"58" 298 3.1607
"59" 307 3.2456
"60" 325 3.2586
"61" 328 3.2373
"62" 334 3.2333
"63" 344 3.2787
"64" 346 3.2951
"65" 352 3.2742
"66" 365 3.3387
"67" 376 3.3333
"68" 381 3.3281
"69" 384 3.2923
"70" 387 3.2727
"71" 397 3.2537
"72" 400 3.2206
"73" 405 3.2029
"74" 408 3.1714
"75" 409 3.1714
"76" 416 3.1831
"77" 420 3.1528
"78" 424 3.1233
"79" 434 3.1216
"80" 439 3.12
"81" 443 3.1184
"82" 447 3.1169
"83" 448 3.1169
"84" 450 3.0897
"85" 456 3.1013
"86" 458 3.075
"87" 468 3.061
"88" 470 3.0361
"89" 474 3.0238
"90" 477 3.0118
"91" 479 2.9884
"92" 482 2.977
"93" 486 2.9773
"94" 495 2.9888
"95" 502 2.9667
"96" 504 2.9451
"97" 505 2.9451
"98" 508 2.9348
"99" 512 2.9043
"100" 514 2.8842
"101" 518 2.8854
"102" 523 2.8763
"103" 537 2.8673
"104" 541 2.8485
"105" 547 2.84
"106" 549 2.8218
"107" 551 2.8039
"108" 374 2
"109" 391 2.4545
"110" 47 2.5
"111" 215 2.5
"112" 318 2.5
"113" 343 2.2
"114" 363 2
"115" 369 1.8571
"116" 370 1.8571
"117" 371 1.8571
"118" 380 1.75
"119" 393 1.6667
"120" 407 1.6
"121" 422 1.6
"122" 432 1.5455
"123" 499 1.5833
"124" 12 2
"125" 34 1.5
"126" 39 1.3333
"127" 50 1.25
"128" 182 1.2
"129" 198 1.5
"130" 200 1.4286
"131" 284 1.4286
"132" 308 1.375
"133" 341 1.5
"134" 354 1.5455
"135" 357 1.5833
"136" 359 1.5833
"137" 367 1.5385
"138" 389 1.6429
"139" 414 1.6
"140" 426 1.5625
"141" 431 1.5294
"142" 488 1.6667
"143" 497 1.6316
"144" 521 1.65
"145" 525 1.619
"146" 533 1.5909
"147" 267 3
"148" 283 2
"149" 543 1.6
"150" 535 2.1429
"151" 108 1.3333
"152" 315 2
"153" 124 2
"154" 296 1.6
"155" 463 1.4615
"156" 490 1.6
"157" 528 1.5625
"158" 539 1.5556
