"q_id" "user_rating"
"1" 5 10
"2" 7 16
"3" 12 7
"4" 18 4
"5" 34 25
"6" 37 7
"7" 39 10
"8" 44 12
"9" 50 23
"10" 55 13
"11" 58 15
"12" 62 18
"13" 69 3
"14" 83 4
"15" 84 38
"16" 87 14
"17" 88 15
"18" 95 46
"19" 104 3
"20" 124 2
"21" 128 22
"22" 144 56
"23" 146 24
"24" 147 28
"25" 148 7
"26" 153 9
"27" 159 57
"28" 162 67
"29" 166 39
"30" 175 74
"31" 181 17
"32" 182 8
"33" 185 20
"34" 187 79
"35" 200 88
"36" 206 24
"37" 212 44
"38" 215 100
"39" 217 101
"40" 219 105
"41" 220 112
"42" 225 2
"43" 231 24
"44" 242 1
"45" 245 128
"46" 248 25
"47" 256 1
"48" 259 24
"49" 267 36
"50" 273 1
"51" 280 2
"52" 283 6
"53" 284 7
"54" 292 34
"55" 296 8
"56" 307 7
"57" 308 9
"58" 315 31
"59" 318 40
"60" 325 42
"61" 334 46
"62" 341 18
"63" 343 16
"64" 346 19
"65" 357 32
"66" 363 14
"67" 365 62
"68" 369 18
"69" 370 19
"70" 371 20
"71" 376 36
"72" 381 41
"73" 384 3
"74" 387 20
"75" 393 90
"76" 397 1
"77" 407 27
"78" 408 93
"79" 409 2
"80" 422 2
"81" 424 6
"82" 431 29
"83" 434 39
"84" 439 52
"85" 447 88
"86" 448 96
"87" 456 6
"88" 458 8
"89" 488 30
"90" 490 32
"91" 497 70
"92" 499 8
"93" 502 71
"94" 504 71
"95" 505 73
"96" 514 2
"97" 518 7
"98" 521 83
"99" 523 84
"100" 525 11
"101" 528 13
"102" 541 14
"103" 543 5
"104" 549 7
