"q_id" "avg_ans_num_for_user"
"1" 12 1
"2" 34 2.3333
"3" 44 1
"4" 55 1.6667
"5" 58 1.5
"6" 62 1.5
"7" 83 1
"8" 84 1.8333
"9" 87 1
"10" 88 1
"11" 95 1.8571
"12" 104 1
"13" 124 3
"14" 128 1
"15" 144 1
"16" 146 1.25
"17" 147 1.25
"18" 159 3.125
"19" 162 3.125
"20" 166 1.1667
"21" 175 3.2222
"22" 181 1
"23" 182 2
"24" 185 4
"25" 187 3.3
"26" 200 3.5455
"27" 206 2
"28" 212 1.1429
"29" 215 3.6364
"30" 217 3.6364
"31" 219 3.4167
"32" 220 3.4167
"33" 231 1
"34" 242 1
"35" 245 3.1429
"36" 256 2
"37" 259 2
"38" 283 3.5
"39" 284 3.5
"40" 292 4
"41" 296 2.25
"42" 307 4
"43" 308 2.25
"44" 318 4
"45" 325 3
"46" 334 3
"47" 341 2.3333
"48" 346 2.1429
"49" 357 1
"50" 365 3.6
"51" 369 1
"52" 370 1
"53" 371 1
"54" 376 1
"55" 381 2
"56" 384 1
"57" 387 2.25
"58" 393 2.5
"59" 397 1
"60" 407 2.2222
"61" 408 2
"62" 422 1
"63" 431 2.3333
"64" 434 2.3333
"65" 439 1.6667
"66" 448 1.75
"67" 456 1
"68" 458 2
"69" 488 1
"70" 490 1
"71" 497 2.7273
"72" 499 2
"73" 502 2.6667
"74" 504 2.5385
"75" 505 2.5385
"76" 514 1
"77" 518 3
"78" 521 2.4
"79" 523 2.3125
"80" 525 2.5
"81" 528 2
"82" 541 2
"83" 543 2
