"q_id" "avg_ans_num_ph_tag"
"1" 18 1
"2" 21 1.25
"3" 26 1.25
"4" 33 1.2857
"5" 37 1.25
"6" 44 1.1818
"7" 55 1.2667
"8" 58 1.25
"9" 60 1.25
"10" 62 1.2353
"11" 69 1.2381
"12" 74 1.2609
"13" 76 1.25
"14" 84 1.2857
"15" 87 1.2667
"16" 88 1.2667
"17" 95 1.2647
"18" 104 1.3421
"19" 117 1.4048
"20" 128 1.383
"21" 133 1.38
"22" 138 1.3585
"23" 144 1.375
"24" 146 1.3684
"25" 147 1.3684
"26" 148 1.3684
"27" 152 1.35
"28" 153 1.35
"29" 159 1.3438
"30" 162 1.3333
"31" 166 1.3188
"32" 170 1.3056
"33" 175 1.2895
"34" 181 1.3205
"35" 185 1.3291
"36" 187 1.325
"37" 202 1.3256
"38" 206 1.3218
"39" 212 1.3187
"40" 217 1.3085
"41" 219 1.3053
"42" 220 1.3053
"43" 225 1.299
"44" 231 1.2843
"45" 235 1.2762
"46" 242 1.2613
"47" 245 1.2566
"48" 248 1.2522
"49" 249 1.2522
"50" 253 1.2564
"51" 256 1.2521
"52" 259 1.2479
"53" 262 1.2439
"54" 273 1.2385
"55" 280 1.237
"56" 289 1.2302
"57" 292 1.227
"58" 298 1.2207
"59" 307 1.2252
"60" 325 1.2194
"61" 328 1.2166
"62" 334 1.2125
"63" 344 1.2121
"64" 346 1.2108
"65" 352 1.2083
"66" 365 1.2035
"67" 376 1.2
"68" 381 1.1966
"69" 384 1.1955
"70" 387 1.1934
"71" 397 1.1913
"72" 400 1.1902
"73" 405 1.1882
"74" 408 1.1872
"75" 409 1.1872
"76" 416 1.1832
"77" 420 1.1823
"78" 424 1.1813
"79" 434 1.1786
"80" 439 1.1759
"81" 443 1.1733
"82" 447 1.1707
"83" 448 1.1707
"84" 450 1.1699
"85" 456 1.1722
"86" 458 1.1714
"87" 468 1.1674
"88" 470 1.1667
"89" 474 1.1651
"90" 477 1.1636
"91" 479 1.1629
"92" 482 1.1614
"93" 486 1.1593
"94" 495 1.1565
"95" 502 1.1558
"96" 504 1.1552
"97" 505 1.1552
"98" 508 1.1538
"99" 512 1.1519
"100" 514 1.1513
"101" 518 1.1542
"102" 523 1.1529
"103" 537 1.1516
"104" 541 1.151
"105" 547 1.1498
"106" 549 1.1492
"107" 551 1.1486
"108" 374 1
"109" 391 1.0385
"110" 47 1.6667
"111" 215 1.25
"112" 318 1.25
"113" 343 1.2222
"114" 363 1.2
"115" 369 1.1818
"116" 370 1.1818
"117" 371 1.1818
"118" 380 1.1667
"119" 393 1.1538
"120" 407 1.1429
"121" 422 1.1429
"122" 432 1.1333
"123" 499 1.1176
"124" 12 2
"125" 34 3
"126" 39 2
"127" 50 1.6667
"128" 182 1.5
"129" 198 1.8
"130" 200 1.6667
"131" 284 1.6667
"132" 308 1.5714
"133" 341 1.3636
"134" 354 1.3077
"135" 357 1.3571
"136" 359 1.3571
"137" 367 1.3333
"138" 389 1.2778
"139" 414 1.2632
"140" 426 1.25
"141" 431 1.2381
"142" 488 1.2
"143" 497 1.1923
"144" 521 1.1786
"145" 525 1.1724
"146" 533 1.1667
"147" 267 1.5
"148" 283 1.3333
"149" 543 1
"150" 535 1
"151" 108 1
"152" 315 1.3333
"153" 124 1.3333
"154" 296 1.1429
"155" 463 1.1176
"156" 490 1.0909
"157" 528 1.087
"158" 539 1.0769
