"q_id" "avg_ans_ups_tag"
"1" 2 1.6667
"2" 3 1.6667
"3" 5 1
"4" 7 1
"5" 18 1.6667
"6" 21 1.6667
"7" 26 2.9
"8" 33 2.9
"9" 34 2.3333
"10" 37 2.9
"11" 39 2.3333
"12" 44 2.9
"13" 47 2
"14" 50 2
"15" 55 3.0833
"16" 58 2.625
"17" 60 2.625
"18" 62 2.625
"19" 69 3.0909
"20" 74 3.0909
"21" 76 3.0909
"22" 84 3.0385
"23" 87 2.9429
"24" 88 2.9429
"25" 95 2.9429
"26" 104 3.0263
"27" 108 2.25
"28" 117 2.9756
"29" 124 2
"30" 128 3.1591
"31" 133 3.1591
"32" 138 3.0192
"33" 144 2.9643
"34" 146 2.9643
"35" 147 2.9643
"36" 148 2.9643
"37" 152 2.9643
"38" 153 2.9643
"39" 159 2.9355
"40" 162 2.9355
"41" 166 3.0313
"42" 170 3.2727
"43" 175 3.1918
"44" 181 3.1918
"45" 182 2.75
"46" 185 3.1039
"47" 187 3.1039
"48" 198 2.6
"49" 200 2.3333
"50" 202 3.2152
"51" 206 3.2152
"52" 212 3.1341
"53" 215 2.375
"54" 217 2.9886
"55" 219 2.9886
"56" 220 2.9886
"57" 225 3
"58" 231 2.9785
"59" 235 2.9789
"60" 242 3.0515
"61" 245 3.0303
"62" 248 3.01
"63" 249 3.01
"64" 253 2.9429
"65" 256 2.981
"66" 259 2.9623
"67" 262 2.9533
"68" 267 2
"69" 273 2.8644
"70" 280 3.1639
"71" 283 1.5
"72" 284 2.1429
"73" 289 3.1429
"74" 292 3.1429
"75" 296 2.1667
"76" 298 3.0672
"77" 307 3.0657
"78" 308 2
"79" 315 3.6667
"80" 318 2.3
"81" 325 3.007
"82" 328 2.9931
"83" 334 3.1241
"84" 341 1.9
"85" 343 2.1818
"86" 344 3.1067
"87" 346 3.1067
"88" 352 3.0987
"89" 354 1.8182
"90" 357 1.9167
"91" 359 1.9167
"92" 363 2.1818
"93" 365 3.0892
"94" 367 1.9167
"95" 369 2.1667
"96" 370 2.1667
"97" 371 2.1667
"98" 374 4.5
"99" 376 3.1646
"100" 380 2.0769
"101" 381 3.1863
"102" 384 3.1988
"103" 387 3.1807
"104" 389 1.8667
"105" 391 2.2632
"106" 393 2.0714
"107" 397 3.2229
"108" 400 3.2229
"109" 405 3.2335
"110" 407 2.0714
"111" 408 3.2335
"112" 409 3.2335
"113" 414 1.9333
"114" 416 3.2308
"115" 420 3.2235
"116" 422 2.0714
"117" 424 3.2235
"118" 426 1.9375
"119" 431 1.8824
"120" 432 2
"121" 434 3.2529
"122" 439 3.2759
"123" 443 3.2486
"124" 447 3.2295
"125" 448 3.2295
"126" 450 3.2295
"127" 456 3.25
"128" 458 3.2312
"129" 463 1.8
"130" 468 3.1875
"131" 470 3.1744
"132" 474 3.199
"133" 477 3.2234
"134" 479 3.2161
"135" 482 3.2512
"136" 486 3.3789
"137" 488 2.2308
"138" 490 2.28
"139" 495 3.4262
"140" 497 2.2222
"141" 499 2.2
"142" 502 3.4473
"143" 504 3.4454
"144" 505 3.4454
"145" 508 3.4477
"146" 512 3.4504
"147" 514 3.4504
"148" 518 3.4553
"149" 521 2.1724
"150" 523 3.4516
"151" 525 2.0968
"152" 528 2.2593
"153" 533 2.129
"154" 535 2.2308
"155" 537 3.484
"156" 539 2.3214
"157" 541 3.4841
"158" 543 2.5
"159" 547 3.4901
"160" 549 3.4882
"161" 551 3.4922
