"q_id" "avg_ans_downs_tag"
"1" 26 1
"2" 33 1
"3" 37 1
"4" 44 1
"5" 55 1
"6" 58 1
"7" 60 1
"8" 62 1
"9" 69 1.5
"10" 74 1.5
"11" 76 1.5
"12" 84 1.6667
"13" 87 2.1667
"14" 88 2.1667
"15" 95 2.1667
"16" 104 2
"17" 117 2
"18" 128 2
"19" 133 2
"20" 138 2.1176
"21" 144 2.0556
"22" 146 2.0556
"23" 147 2.0556
"24" 148 2.0556
"25" 152 2.0556
"26" 153 2.0556
"27" 159 2.1111
"28" 162 2.1111
"29" 166 2.4762
"30" 170 2.4091
"31" 175 2.3478
"32" 181 2.3478
"33" 185 2.3478
"34" 187 2.3478
"35" 202 2.4783
"36" 206 2.4783
"37" 212 2.4783
"38" 217 2.4783
"39" 219 2.4783
"40" 220 2.4783
"41" 225 2.4783
"42" 231 2.4783
"43" 235 2.4783
"44" 242 2.4783
"45" 245 2.4783
"46" 248 2.4783
"47" 249 2.4783
"48" 253 2.4783
"49" 256 2.4783
"50" 259 2.4783
"51" 262 2.4783
"52" 273 2.6087
"53" 280 2.96
"54" 289 2.9615
"55" 292 2.9615
"56" 298 2.7
"57" 307 2.7
"58" 325 2.7
"59" 328 2.7
"60" 334 2.7
"61" 344 2.7
"62" 346 2.7
"63" 352 2.7
"64" 365 2.7
"65" 376 2.7
"66" 381 2.7
"67" 384 2.7
"68" 387 2.7
"69" 391 1
"70" 397 2.7
"71" 400 2.7
"72" 405 2.7
"73" 408 2.7
"74" 409 2.7
"75" 416 2.7
"76" 420 2.7
"77" 424 2.7
"78" 434 2.7
"79" 439 2.7333
"80" 443 2.7333
"81" 447 2.7333
"82" 448 2.7333
"83" 450 2.7333
"84" 456 2.7333
"85" 458 2.7333
"86" 468 2.7333
"87" 470 2.7333
"88" 474 2.7333
"89" 477 2.7333
"90" 479 2.7333
"91" 482 2.7333
"92" 486 2.7333
"93" 495 2.7333
"94" 502 2.7333
"95" 504 2.7333
"96" 505 2.7333
"97" 508 2.7333
"98" 512 2.7333
"99" 514 2.7333
"100" 518 2.7333
"101" 523 2.7333
"102" 537 2.7097
"103" 541 2.7097
"104" 547 2.7097
"105" 549 2.7097
"106" 551 2.7097
