"q_id" "member_duration"
"1" 2 20009934928
"2" 3 20009933669
"3" 5 20009933669
"4" 6 20009934697
"5" 7 20009933669
"6" 9 20009925086
"7" 12 20009934928
"8" 18 20009901720
"9" 21 20009933103
"10" 26 20009933726
"11" 33 20009033105
"12" 34 20009933669
"13" 37 20009933882
"14" 39 20009933882
"15" 44 20009933882
"16" 47 20009934805
"17" 50 20010065485
"18" 55 20009933882
"19" 58 20009933882
"20" 60 20009933717
"21" 62 20009933882
"22" 69 20009062970
"23" 74 20009933018
"24" 76 20009934396
"25" 83 20009934805
"26" 84 20009933882
"27" 87 20009062970
"28" 88 20009062970
"29" 95 20009933882
"30" 104 20009934396
"31" 108 20001961496
"32" 117 20002923075
"33" 124 20001961496
"34" 128 20009062970
"35" 133 20002914177
"36" 138 20001951524
"37" 144 20010065485
"38" 146 20009062970
"39" 147 20009062970
"40" 148 20009902699
"41" 152 20002012669
"42" 153 20009940423
"43" 159 20009933882
"44" 162 20009933882
"45" 166 20009062970
"46" 170 19990913086
"47" 175 20009933882
"48" 181 20002923075
"49" 182 20009934928
"50" 185 20009940423
"51" 187 20009933882
"52" 198 19990084806
"53" 200 20009933882
"54" 202 19998899580
"55" 206 20009902699
"56" 212 20009062970
"57" 215 20009933882
"58" 217 20009933882
"59" 219 20009933882
"60" 220 20009933882
"61" 225 20007963121
"62" 231 20009934805
"63" 235 19907021310
"64" 242 20002012669
"65" 245 20009933882
"66" 248 20009923692
"67" 249 20009922316
"68" 253 19913999611
"69" 256 19913999611
"70" 259 20007963121
"71" 262 19992023083
"72" 267 20009923692
"73" 273 19917093591
"74" 280 20009940505
"75" 283 19913999611
"76" 284 19913999611
"77" 289 19709995412
"78" 292 20009940423
"79" 296 19913999611
"80" 298 20004982999
"81" 307 20009940505
"82" 308 19913999611
"83" 315 20005981010
"84" 318 20009902699
"85" 325 20009902699
"86" 328 19695961311
"87" 334 20009902699
"88" 341 19913999611
"89" 343 19990970305
"90" 344 20002012795
"91" 346 19913999611
"92" 352 19914004803
"93" 354 19700093499
"94" 357 20005981010
"95" 359 20009934408
"96" 363 19607930587
"97" 365 20009902699
"98" 367 19599990580
"99" 369 19607930587
"100" 370 19607930587
"101" 371 19607930587
"102" 374 19716990118
"103" 376 20005981010
"104" 380 19505004570
"105" 381 20005981010
"106" 384 19716990118
"107" 387 19913999611
"108" 389 19788092971
"109" 391 19888022116
"110" 393 20010065485
"111" 397 19990084806
"112" 400 10591039800
"113" 405 19606063973
"114" 407 19913999611
"115" 408 20010065485
"116" 409 20002934326
"117" 414 10602054073
"118" 416 19600024494
"119" 420 10505009624
"120" 422 19600024494
"121" 424 10596001803
"122" 426 19490073905
"123" 431 19913999611
"124" 432 10588994696
"125" 434 19913999611
"126" 439 20005981010
"127" 443 10497994983
"128" 447 20010064199
"129" 448 20010065485
"130" 450 10303930609
"131" 456 10303930609
"132" 458 10588994696
"133" 463 19989123818
"134" 468 10212125315
"135" 470 10213074004
"136" 474 10390119593
"137" 477 10289965313
"138" 479 10198982892
"139" 482 10288963593
"140" 486 20002919816
"141" 488 19990970305
"142" 490 19990970305
"143" 495 10308914911
"144" 497 19913999611
"145" 499 10288963593
"146" 502 19913999611
"147" 504 19913999611
"148" 505 19913999611
"149" 508 10608023198
"150" 512 19997963269
"151" 514 19997963269
"152" 518 10608023198
"153" 521 19913999611
"154" 523 19913999611
"155" 525 10608023198
"156" 528 10608023198
"157" 533 10005922896
"158" 535 19914013387
"159" 537 19996902390
"160" 539 10004891569
"161" 541 10608023198
"162" 543 19907021310
"163" 547 10200030393
"164" 549 20002934326
"165" 551 10116922722
