"q_id" "num_ans_accepted"
"1" 34 2
"2" 37 3
"3" 39 3
"4" 44 3
"5" 55 3
"6" 58 3
"7" 62 3
"8" 69 1
"9" 83 1
"10" 84 3
"11" 87 1
"12" 88 1
"13" 95 3
"14" 104 1
"15" 128 1
"16" 146 4
"17" 147 4
"18" 152 1
"19" 159 3
"20" 162 3
"21" 166 6
"22" 175 3
"23" 187 3
"24" 200 3
"25" 206 1
"26" 212 7
"27" 215 3
"28" 217 3
"29" 219 3
"30" 220 3
"31" 231 2
"32" 242 1
"33" 245 3
"34" 283 1
"35" 284 1
"36" 296 1
"37" 308 1
"38" 318 1
"39" 325 2
"40" 334 2
"41" 341 4
"42" 343 1
"43" 346 5
"44" 357 1
"45" 365 2
"46" 369 1
"47" 370 1
"48" 371 1
"49" 376 1
"50" 381 2
"51" 387 6
"52" 397 2
"53" 407 6
"54" 422 1
"55" 431 6
"56" 434 6
"57" 439 2
"58" 456 1
"59" 458 1
"60" 468 1
"61" 474 1
"62" 477 1
"63" 482 1
"64" 488 2
"65" 490 3
"66" 497 9
"67" 499 1
"68" 502 10
"69" 504 10
"70" 505 10
"71" 512 1
"72" 514 1
"73" 518 1
"74" 521 11
"75" 523 13
"76" 525 3
"77" 528 4
"78" 541 5
"79" 543 1
"80" 549 1
"81" 551 1
