"q_id" "num_ans_received"
"1" 12 1
"2" 34 7
"3" 44 2
"4" 55 5
"5" 58 6
"6" 62 6
"7" 83 1
"8" 84 11
"9" 87 1
"10" 88 1
"11" 95 13
"12" 104 1
"13" 124 3
"14" 128 3
"15" 144 1
"16" 146 5
"17" 147 5
"18" 159 25
"19" 162 25
"20" 166 7
"21" 175 29
"22" 181 1
"23" 182 4
"24" 185 4
"25" 187 33
"26" 200 39
"27" 206 2
"28" 212 8
"29" 215 40
"30" 217 40
"31" 219 41
"32" 220 41
"33" 231 2
"34" 242 1
"35" 245 44
"36" 256 2
"37" 259 2
"38" 283 7
"39" 284 7
"40" 292 4
"41" 296 9
"42" 307 4
"43" 308 9
"44" 318 8
"45" 325 9
"46" 334 12
"47" 341 14
"48" 346 15
"49" 357 1
"50" 365 18
"51" 369 1
"52" 370 1
"53" 371 1
"54" 376 1
"55" 381 4
"56" 384 1
"57" 387 18
"58" 393 5
"59" 397 1
"60" 407 20
"61" 408 6
"62" 422 1
"63" 431 21
"64" 434 21
"65" 439 5
"66" 448 7
"67" 456 1
"68" 458 2
"69" 488 1
"70" 490 2
"71" 497 30
"72" 499 2
"73" 502 32
"74" 504 33
"75" 505 33
"76" 514 1
"77" 518 3
"78" 521 36
"79" 523 37
"80" 525 5
"81" 528 6
"82" 541 8
"83" 543 2
