"q_id" "post_time"
"1" 2 19
"2" 3 19
"3" 5 19
"4" 6 19
"5" 7 19
"6" 9 20
"7" 12 20
"8" 18 23
"9" 21 23
"10" 26 2
"11" 33 9
"12" 34 9
"13" 37 10
"14" 39 12
"15" 44 16
"16" 47 20
"17" 50 3
"18" 55 8
"19" 58 7
"20" 60 12
"21" 62 16
"22" 69 1
"23" 74 14
"24" 76 18
"25" 83 15
"26" 84 19
"27" 87 7
"28" 88 9
"29" 95 14
"30" 104 3
"31" 108 23
"32" 117 17
"33" 124 12
"34" 128 4
"35" 133 17
"36" 138 22
"37" 144 4
"38" 146 6
"39" 147 6
"40" 148 6
"41" 152 13
"42" 153 18
"43" 159 9
"44" 162 18
"45" 166 6
"46" 170 21
"47" 175 9
"48" 181 20
"49" 182 21
"50" 185 4
"51" 187 8
"52" 198 20
"53" 200 9
"54" 202 9
"55" 206 13
"56" 212 4
"57" 215 18
"58" 217 7
"59" 219 10
"60" 220 15
"61" 225 14
"62" 231 20
"63" 235 14
"64" 242 13
"65" 245 8
"66" 248 2
"67" 249 22
"68" 253 15
"69" 256 16
"70" 259 15
"71" 262 7
"72" 267 18
"73" 273 11
"74" 280 22
"75" 283 13
"76" 284 14
"77" 289 13
"78" 292 1
"79" 296 18
"80" 298 3
"81" 307 19
"82" 308 19
"83" 315 13
"84" 318 20
"85" 325 5
"86" 328 16
"87" 334 21
"88" 341 23
"89" 343 9
"90" 344 10
"91" 346 12
"92" 352 12
"93" 354 23
"94" 357 2
"95" 359 18
"96" 363 18
"97" 365 21
"98" 367 21
"99" 369 17
"100" 370 18
"101" 371 18
"102" 374 21
"103" 376 15
"104" 380 22
"105" 381 2
"106" 384 20
"107" 387 6
"108" 389 0
"109" 391 9
"110" 393 4
"111" 397 0
"112" 400 10
"113" 405 1
"114" 407 15
"115" 408 20
"116" 409 21
"117" 414 15
"118" 416 16
"119" 420 6
"120" 422 13
"121" 424 20
"122" 426 3
"123" 431 17
"124" 432 10
"125" 434 2
"126" 439 17
"127" 443 16
"128" 447 3
"129" 448 4
"130" 450 11
"131" 456 9
"132" 458 3
"133" 463 22
"134" 468 0
"135" 470 1
"136" 474 12
"137" 477 13
"138" 479 14
"139" 482 17
"140" 486 20
"141" 488 15
"142" 490 10
"143" 495 15
"144" 497 15
"145" 499 10
"146" 502 3
"147" 504 19
"148" 505 19
"149" 508 18
"150" 512 19
"151" 514 19
"152" 518 19
"153" 521 4
"154" 523 0
"155" 525 17
"156" 528 9
"157" 533 19
"158" 535 13
"159" 537 13
"160" 539 20
"161" 541 8
"162" 543 9
"163" 547 16
"164" 549 13
"165" 551 19
