"q_id" "satisfied"
"1" 2 0
"2" 3 1
"3" 5 1
"4" 6 0
"5" 7 1
"6" 9 0
"7" 12 0
"8" 18 0
"9" 21 0
"10" 26 0
"11" 33 0
"12" 34 1
"13" 37 1
"14" 39 1
"15" 44 1
"16" 47 1
"17" 50 0
"18" 55 0
"19" 58 0
"20" 60 1
"21" 62 0
"22" 69 1
"23" 74 1
"24" 76 1
"25" 83 1
"26" 84 0
"27" 87 1
"28" 88 1
"29" 95 0
"30" 104 0
"31" 108 1
"32" 117 0
"33" 124 1
"34" 128 1
"35" 133 0
"36" 138 0
"37" 144 0
"38" 146 1
"39" 147 1
"40" 148 1
"41" 152 1
"42" 153 0
"43" 159 0
"44" 162 0
"45" 166 1
"46" 170 1
"47" 175 0
"48" 181 0
"49" 182 0
"50" 185 0
"51" 187 0
"52" 198 1
"53" 200 0
"54" 202 0
"55" 206 0
"56" 212 0
"57" 215 0
"58" 217 0
"59" 219 0
"60" 220 0
"61" 225 0
"62" 231 1
"63" 235 1
"64" 242 1
"65" 245 0
"66" 248 0
"67" 249 0
"68" 253 1
"69" 256 0
"70" 259 0
"71" 262 0
"72" 267 1
"73" 273 1
"74" 280 0
"75" 283 1
"76" 284 1
"77" 289 0
"78" 292 0
"79" 296 1
"80" 298 1
"81" 307 0
"82" 308 1
"83" 315 1
"84" 318 1
"85" 325 0
"86" 328 1
"87" 334 0
"88" 341 1
"89" 343 1
"90" 344 0
"91" 346 1
"92" 352 0
"93" 354 1
"94" 357 0
"95" 359 1
"96" 363 1
"97" 365 1
"98" 367 0
"99" 369 0
"100" 370 1
"101" 371 0
"102" 374 0
"103" 376 1
"104" 380 1
"105" 381 1
"106" 384 1
"107" 387 0
"108" 389 1
"109" 391 0
"110" 393 0
"111" 397 1
"112" 400 0
"113" 405 0
"114" 407 0
"115" 408 0
"116" 409 0
"117" 414 0
"118" 416 1
"119" 420 0
"120" 422 1
"121" 424 0
"122" 426 1
"123" 431 1
"124" 432 1
"125" 434 0
"126" 439 1
"127" 443 0
"128" 447 0
"129" 448 0
"130" 450 1
"131" 456 1
"132" 458 1
"133" 463 0
"134" 468 1
"135" 470 0
"136" 474 1
"137" 477 1
"138" 479 0
"139" 482 1
"140" 486 1
"141" 488 1
"142" 490 1
"143" 495 0
"144" 497 1
"145" 499 0
"146" 502 0
"147" 504 1
"148" 505 0
"149" 508 1
"150" 512 1
"151" 514 0
"152" 518 1
"153" 521 1
"154" 523 1
"155" 525 1
"156" 528 1
"157" 533 1
"158" 535 0
"159" 537 0
"160" 539 1
"161" 541 1
"162" 543 1
"163" 547 0
"164" 549 1
"165" 551 1
