"q_id" "satisfied" "avg_ans_num_tag" "avg_ans_num_for_user" "avg_ans_num_ph_tag" "member_duration" "num_ans_accepted" "num_ans_received" "post_time" "user_rating" "avg_ans_score_tag"
"1" 2 "0" 0 0 0 20009934928 0 0 19 0 1.6667
"2" 3 "1" 0 0 0 20009933669 0 0 19 0 1.6667
"3" 5 "1" 0 0 0 20009933669 0 0 19 10 1
"4" 6 "0" 0 0 0 20009934697 0 0 19 0 0
"5" 7 "1" 0 0 0 20009933669 0 0 19 16 1
"6" 9 "0" 0 0 0 20009925086 0 0 20 0 0
"7" 12 "0" 2 1 2 20009934928 0 1 20 7 0
"8" 18 "0" 2 0 1 20009901720 0 0 23 4 1.6667
"9" 21 "0" 1.6667 0 1.25 20009933103 0 0 23 0 1.6667
"10" 26 "0" 1.6667 0 1.25 20009933726 0 0 2 0 1.9
"11" 33 "0" 2.25 0 1.2857 20009033105 0 0 9 0 1.9
"12" 34 "1" 1.5 2.3333 3 20009933669 2 7 9 25 2.3333
"13" 37 "1" 2.5 0 1.25 20009933882 3 0 10 7 1.9
"14" 39 "1" 1.3333 0 2 20009933882 3 0 12 10 2.3333
"15" 44 "1" 2.1667 1 1.1818 20009933882 3 2 16 12 1.9
"16" 47 "1" 2.5 0 1.6667 20009934805 0 0 20 0 2
"17" 50 "0" 1.25 0 1.6667 20010065485 0 0 3 23 2
"18" 55 "0" 2.375 1.6667 1.2667 20009933882 3 5 8 13 2.0833
"19" 58 "0" 2.2222 1.5 1.25 20009933882 3 6 7 15 1.625
"20" 60 "1" 2.2222 0 1.25 20009933717 0 0 12 0 1.625
"21" 62 "0" 2.1 1.5 1.2353 20009933882 3 6 16 18 1.625
"22" 69 "1" 2.3636 0 1.2381 20009062970 1 0 1 3 1.5909
"23" 74 "1" 2.2308 0 1.2609 20009933018 0 0 14 0 1.5909
"24" 76 "1" 2.3077 0 1.25 20009934396 0 0 18 0 1.5909
"25" 83 "1" 0 1 0 20009934805 1 1 15 4 0
"26" 84 "0" 2.4 1.8333 1.2857 20009933882 3 11 19 38 1.3718
"27" 87 "1" 2.375 1 1.2667 20009062970 1 1 7 14 0.7762
"28" 88 "1" 2.375 1 1.2667 20009062970 1 1 9 15 0.7762
"29" 95 "0" 2.3889 1.8571 1.2647 20009933882 3 13 14 46 0.7762
"30" 104 "0" 2.6842 1 1.3421 20009934396 1 1 3 3 1.0263
"31" 108 "1" 1.3333 0 1 20001961496 0 0 23 0 2.25
